ms,field,spw,I,Q,U,V,spix,comment
uid___A002_Xd3c7c2_Xb7f9.ms,0,22,4.5531,0.0,0.0,0.0,-0.186669519495,"# field=J0522-3627 intents=AMPLITUDE,ATMOSPHERE,BANDPASS,POINTING,WVR origin=Source.xml age=N/A queried_at=N/A # +-0.1895Jy, freq=259.379GHz, spec_index=-0.187+-0.010, Band3/7_separation=0 days, spixAge=+2 days, Band3age=2 days, setjy parameters for field 0 (J0522-3627): spix=-0.1867, reffreq='259.3787GHz', fluxdensity=[4.553107,0,0,0], au.getALMAFluxcsv v1.4344 executed on 2019-01-23 10:40:19 UT"
uid___A002_Xd3c7c2_Xb7f9.ms,0,24,4.5580,0.0,0.0,0.0,-0.186669519495,"# field=J0522-3627 intents=AMPLITUDE,ATMOSPHERE,BANDPASS,POINTING,WVR origin=Source.xml age=N/A queried_at=N/A # +-0.1903Jy, freq=257.879GHz"
uid___A002_Xd3c7c2_Xb7f9.ms,0,26,4.6058,0.0,0.0,0.0,-0.186669519495,"# field=J0522-3627 intents=AMPLITUDE,ATMOSPHERE,BANDPASS,POINTING,WVR origin=Source.xml age=N/A queried_at=N/A # +-0.1835Jy, freq=243.864GHz"
uid___A002_Xd3c7c2_Xb7f9.ms,1,22,0.1832,0.0,0.0,0.0,-0.70986723318,"# field=J0329-2357 intents=ATMOSPHERE,PHASE,POINTING,WVR origin=Source.xml age=N/A queried_at=N/A # +-0.0161Jy, freq=259.379GHz, spec_index=-0.710+-0.097, Band3/7_separation=0 days, spixAge=-18 days, Band3age=-18 days, setjy parameters for field 1 (J0329-2357): spix=-0.7099, reffreq='259.3787GHz', fluxdensity=[0.183241,0,0,0]"
uid___A002_Xd3c7c2_Xb7f9.ms,1,24,0.1840,0.0,0.0,0.0,-0.70986723318,"# field=J0329-2357 intents=ATMOSPHERE,PHASE,POINTING,WVR origin=Source.xml age=N/A queried_at=N/A # +-0.0164Jy, freq=257.879GHz"
uid___A002_Xd3c7c2_Xb7f9.ms,1,26,0.1914,0.0,0.0,0.0,-0.70986723318,"# field=J0329-2357 intents=ATMOSPHERE,PHASE,POINTING,WVR origin=Source.xml age=N/A queried_at=N/A # +-0.0164Jy, freq=243.864GHz"
uid___A002_Xd3c7c2_Xa6f1.ms,0,22,4.5531,0.0,0.0,0.0,-0.186669519495,"# field=J0522-3627 intents=AMPLITUDE,ATMOSPHERE,BANDPASS,POINTING,WVR origin=Source.xml age=N/A queried_at=N/A # +-0.1952Jy, freq=259.379GHz, spec_index=-0.187+-0.010, Band3/7_separation=0 days, spixAge=+2 days, Band3age=2 days, setjy parameters for field 0 (J0522-3627): spix=-0.1867, reffreq='259.3790GHz', fluxdensity=[4.553106,0,0,0]"
uid___A002_Xd3c7c2_Xa6f1.ms,0,24,4.5580,0.0,0.0,0.0,-0.186669519495,"# field=J0522-3627 intents=AMPLITUDE,ATMOSPHERE,BANDPASS,POINTING,WVR origin=Source.xml age=N/A queried_at=N/A # +-0.1929Jy, freq=257.879GHz"
uid___A002_Xd3c7c2_Xa6f1.ms,0,26,4.6058,0.0,0.0,0.0,-0.186669519495,"# field=J0522-3627 intents=AMPLITUDE,ATMOSPHERE,BANDPASS,POINTING,WVR origin=Source.xml age=N/A queried_at=N/A # +-0.1848Jy, freq=243.865GHz"
uid___A002_Xd3c7c2_Xa6f1.ms,1,22,0.1832,0.0,0.0,0.0,-0.70986723318,"# field=J0329-2357 intents=ATMOSPHERE,PHASE,POINTING,WVR origin=Source.xml age=N/A queried_at=N/A # +-0.0161Jy, freq=259.379GHz, spec_index=-0.710+-0.097, Band3/7_separation=0 days, spixAge=-18 days, Band3age=-18 days, setjy parameters for field 1 (J0329-2357): spix=-0.7099, reffreq='259.3790GHz', fluxdensity=[0.183241,0,0,0]"
uid___A002_Xd3c7c2_Xa6f1.ms,1,24,0.1840,0.0,0.0,0.0,-0.70986723318,"# field=J0329-2357 intents=ATMOSPHERE,PHASE,POINTING,WVR origin=Source.xml age=N/A queried_at=N/A # +-0.0163Jy, freq=257.879GHz"
uid___A002_Xd3c7c2_Xa6f1.ms,1,26,0.1914,0.0,0.0,0.0,-0.70986723318,"# field=J0329-2357 intents=ATMOSPHERE,PHASE,POINTING,WVR origin=Source.xml age=N/A queried_at=N/A # +-0.0163Jy, freq=243.865GHz"
uid___A002_Xd1c06f_X545c.ms,0,22,4.3214,0.0,0.0,0.0,-0.246409023535,"# field=J0522-3627 intents=AMPLITUDE,ATMOSPHERE,BANDPASS,POINTING,WVR origin=Source.xml age=N/A queried_at=N/A # +-0.1989Jy, freq=259.392GHz, spec_index=-0.246+-0.014, Band3/7_separation=2 days, spixAge=+3 days, Band3age=3 days, setjy parameters for field 0 (J0522-3627): spix=-0.2464, reffreq='259.3922GHz', fluxdensity=[4.321387,0,0,0]"
uid___A002_Xd1c06f_X545c.ms,0,24,4.3276,0.0,0.0,0.0,-0.246409023535,"# field=J0522-3627 intents=AMPLITUDE,ATMOSPHERE,BANDPASS,POINTING,WVR origin=Source.xml age=N/A queried_at=N/A # +-0.1949Jy, freq=257.892GHz"
uid___A002_Xd1c06f_X545c.ms,0,26,4.3876,0.0,0.0,0.0,-0.246409023535,"# field=J0522-3627 intents=AMPLITUDE,ATMOSPHERE,BANDPASS,POINTING,WVR origin=Source.xml age=N/A queried_at=N/A # +-0.1877Jy, freq=243.877GHz"
uid___A002_Xd1c06f_X545c.ms,1,22,0.1654,0.0,0.0,0.0,-0.873845359658,"# field=J0329-2357 intents=ATMOSPHERE,PHASE,POINTING,WVR origin=Source.xml age=N/A queried_at=N/A # +-0.0141Jy, freq=259.392GHz, spec_index=-0.874+-0.113, Band3/7_separation=0 days, spixAge=+31 days, Band3age=31 days, setjy parameters for field 1 (J0329-2357): spix=-0.8738, reffreq='259.3922GHz', fluxdensity=[0.165427,0,0,0]"
uid___A002_Xd1c06f_X545c.ms,1,24,0.1663,0.0,0.0,0.0,-0.873845359658,"# field=J0329-2357 intents=ATMOSPHERE,PHASE,POINTING,WVR origin=Source.xml age=N/A queried_at=N/A # +-0.0142Jy, freq=257.892GHz"
uid___A002_Xd1c06f_X545c.ms,1,26,0.1746,0.0,0.0,0.0,-0.873845359658,"# field=J0329-2357 intents=ATMOSPHERE,PHASE,POINTING,WVR origin=Source.xml age=N/A queried_at=N/A # +-0.0141Jy, freq=243.877GHz"
uid___A002_Xd395f6_X1401a.ms,0,22,1.0668,0.0,0.0,0.0,-0.645230946754,"# field=J0006-0623 intents=AMPLITUDE,ATMOSPHERE,BANDPASS,POINTING,WVR origin=Source.xml age=N/A queried_at=N/A # +-0.0859Jy, freq=259.380GHz, spec_index=-0.645+-0.061, Band3/7_separation=0 days, spixAge=+0 days, Band3age=0 days, setjy parameters for field 0 (J0006-0623): spix=-0.6452, reffreq='259.3798GHz', fluxdensity=[1.066807,0,0,0]"
uid___A002_Xd395f6_X1401a.ms,0,24,1.0708,0.0,0.0,0.0,-0.645230946754,"# field=J0006-0623 intents=AMPLITUDE,ATMOSPHERE,BANDPASS,POINTING,WVR origin=Source.xml age=N/A queried_at=N/A # +-0.0856Jy, freq=257.880GHz"
uid___A002_Xd395f6_X1401a.ms,0,26,1.1101,0.0,0.0,0.0,-0.645230946754,"# field=J0006-0623 intents=AMPLITUDE,ATMOSPHERE,BANDPASS,POINTING,WVR origin=Source.xml age=N/A queried_at=N/A # +-0.0840Jy, freq=243.865GHz"
uid___A002_Xd395f6_X1401a.ms,1,22,0.1832,0.0,0.0,0.0,-0.70986723318,"# field=J0329-2357 intents=ATMOSPHERE,PHASE,POINTING,WVR origin=Source.xml age=N/A queried_at=N/A # +-0.0163Jy, freq=259.380GHz, spec_index=-0.710+-0.097, Band3/7_separation=0 days, spixAge=-20 days, Band3age=-20 days, setjy parameters for field 1 (J0329-2357): spix=-0.7099, reffreq='259.3798GHz', fluxdensity=[0.183240,0,0,0]"
uid___A002_Xd395f6_X1401a.ms,1,24,0.1840,0.0,0.0,0.0,-0.70986723318,"# field=J0329-2357 intents=ATMOSPHERE,PHASE,POINTING,WVR origin=Source.xml age=N/A queried_at=N/A # +-0.0163Jy, freq=257.880GHz"
uid___A002_Xd395f6_X1401a.ms,1,26,0.1914,0.0,0.0,0.0,-0.70986723318,"# field=J0329-2357 intents=ATMOSPHERE,PHASE,POINTING,WVR origin=Source.xml age=N/A queried_at=N/A # +-0.0164Jy, freq=243.865GHz"
