# Flag commands for uid___A002_Xd16a1e_X4327.ms.h_tsyscal.s6_1.tsyscal.tbl
#
spw='16' antenna='DA54' timerange='2018/09/01/10:37:00~2018/09/01/10:37:01' reason='nmedian'
spw='16' antenna='DA54' timerange='2018/09/01/10:18:34~2018/09/01/10:18:35' reason='nmedian'
spw='16' antenna='DA54' timerange='2018/09/01/10:56:01~2018/09/01/10:56:02' reason='nmedian'
spw='16' antenna='DA54' timerange='2018/09/01/10:08:45~2018/09/01/10:08:47' reason='nmedian'
spw='16' antenna='DA54' timerange='2018/09/01/11:06:31~2018/09/01/11:06:32' reason='nmedian'
spw='16' antenna='DA54' timerange='2018/09/01/10:34:44~2018/09/01/10:34:45' reason='nmedian'
spw='16' antenna='DA54' timerange='2018/09/01/10:17:23~2018/09/01/10:17:25' reason='nmedian'
spw='16' antenna='DA54' timerange='2018/09/01/10:47:38~2018/09/01/10:47:40' reason='nmedian'
spw='16' antenna='DA54' timerange='2018/09/01/11:04:15~2018/09/01/11:04:17' reason='nmedian'
spw='18' antenna='DA54' timerange='2018/09/01/10:08:45~2018/09/01/10:08:47' reason='nmedian'
spw='18' antenna='DA54' timerange='2018/09/01/11:06:31~2018/09/01/11:06:32' reason='nmedian'
spw='18' antenna='DA54' timerange='2018/09/01/10:37:00~2018/09/01/10:37:01' reason='nmedian'
spw='18' antenna='DA54' timerange='2018/09/01/10:18:34~2018/09/01/10:18:35' reason='nmedian'
spw='18' antenna='DA54' timerange='2018/09/01/11:04:15~2018/09/01/11:04:17' reason='nmedian'
spw='18' antenna='DA54' timerange='2018/09/01/10:47:38~2018/09/01/10:47:40' reason='nmedian'
spw='18' antenna='DA54' timerange='2018/09/01/10:17:23~2018/09/01/10:17:25' reason='nmedian'
spw='18' antenna='DA54' timerange='2018/09/01/10:56:01~2018/09/01/10:56:02' reason='nmedian'
spw='18' antenna='DA54' timerange='2018/09/01/10:34:44~2018/09/01/10:34:45' reason='nmedian'
spw='20' antenna='DA54' timerange='2018/09/01/10:56:01~2018/09/01/10:56:02' reason='nmedian'
spw='20' antenna='DA54' timerange='2018/09/01/10:47:38~2018/09/01/10:47:40' reason='nmedian'
spw='20' antenna='DA54' timerange='2018/09/01/11:04:15~2018/09/01/11:04:17' reason='nmedian'
spw='20' antenna='DA54' timerange='2018/09/01/10:18:34~2018/09/01/10:18:35' reason='nmedian'
spw='20' antenna='DA54' timerange='2018/09/01/10:17:23~2018/09/01/10:17:25' reason='nmedian'
spw='20' antenna='DA54' timerange='2018/09/01/11:06:31~2018/09/01/11:06:32' reason='nmedian'
spw='20' antenna='DA54' timerange='2018/09/01/10:37:00~2018/09/01/10:37:01' reason='nmedian'
spw='20' antenna='DA54' timerange='2018/09/01/10:08:45~2018/09/01/10:08:47' reason='nmedian'
spw='20' antenna='DA54' timerange='2018/09/01/10:34:44~2018/09/01/10:34:45' reason='nmedian'
